v8-version,10,2,154,23,-node.22,0
v8-platform,linux,linux
new,CodeRange,0x5576b7769000,0
new,MemoryChunk,0x3fd025a40000,262144
new,MemoryChunk,0x25e34c980000,262144
new,MemoryChunk,0x3bc506bc0000,262144
new,MemoryChunk,0x2f34c1d40000,262144
new,MemoryChunk,0x2d298b0c0000,262144
heap-capacity,1030976
heap-available,2198828672
new,MemoryChunk,0x263cbb9c0000,262144
new,MemoryChunk,0x2e8885a40000,262144
new,MemoryChunk,0x2436b96c0000,262144
new,MemoryChunk,0x3d5797100000,262144
new,MemoryChunk,0x3ec834c40000,262144
new,MemoryChunk,0x337183840000,262144
new,MemoryChunk,0x218408400000,262144
new,MemoryChunk,0x18ed36e80000,262144
new,MemoryChunk,0x1c41c0d80000,262144
new,MemoryChunk,0x2b3dc38c0000,262144
new,MemoryChunk,0x5576b7780000,262144
new,MemoryChunk,0x12021c0c0000,262144
new,MemoryChunk,0x107b20500000,262144
new,MemoryChunk,0x250b51800000,262144
new,MemoryChunk,0x327eccb00000,262144
new,MemoryChunk,0x34ec1f640000,262144
new,MemoryChunk,0x2d1cc9c0000,262144
new,MemoryChunk,0x34d966300000,262144
new,MemoryChunk,0x15992e740000,262144
new,MemoryChunk,0x5576b77c0000,262144
new,MemoryChunk,0x15b1c1140000,262144
new,MemoryChunk,0x1c10df400000,262144
new,MemoryChunk,0x293195ac0000,262144
new,MemoryChunk,0x68ded780000,262144
new,MemoryChunk,0x1140a0180000,262144
new,MemoryChunk,0x101e80340000,262144
new,MemoryChunk,0x2d28a65c0000,262144
new,MemoryChunk,0x343f67640000,262144
new,MemoryChunk,0x362d0a540000,262144
new,MemoryChunk,0x2459a3180000,262144
new,MemoryChunk,0x14e1bc940000,212992
new,MemoryChunk,0x18397e840000,163840
new,MemoryChunk,0x12ec40000000,262144
new,MemoryChunk,0x2d7c28480000,262144
new,MemoryChunk,0x4c2feb40000,262144
new,MemoryChunk,0x361677e40000,262144
new,MemoryChunk,0x16e971140000,262144
new,MemoryChunk,0x22d3e7440000,262144
new,MemoryChunk,0x3e5bd8d00000,262144
new,MemoryChunk,0x32733a580000,262144
new,MemoryChunk,0x324bc340000,262144
new,MemoryChunk,0x334694b40000,262144
new,MemoryChunk,0x2e21fd880000,262144
new,MemoryChunk,0xdc110c00000,262144
new,MemoryChunk,0x6bea9a00000,262144
new,MemoryChunk,0x3f323c9c0000,262144
new,MemoryChunk,0x2649d5b40000,262144
new,MemoryChunk,0x3342ce080000,548864
new,MemoryChunk,0x10ee7f700000,143360
new,MemoryChunk,0x24700a700000,262144
new,MemoryChunk,0x302348180000,262144
new,MemoryChunk,0x5b3fc400000,262144
