v8-version,10,2,154,23,-node.22,0
v8-platform,linux,linux
new,CodeRange,0x560d47b11000,0
new,MemoryChunk,0x19cdcdbc0000,262144
new,MemoryChunk,0x215764c0000,262144
new,MemoryChunk,0x7add0640000,262144
new,MemoryChunk,0x348d8f40000,262144
new,MemoryChunk,0x3b1957480000,262144
heap-capacity,1030976
heap-available,2198828672
new,MemoryChunk,0x27891bc00000,262144
new,MemoryChunk,0x22674d980000,262144
new,MemoryChunk,0x3152bf5c0000,262144
new,MemoryChunk,0x324910bc0000,262144
new,MemoryChunk,0x393923440000,262144
new,MemoryChunk,0x5815b4c0000,262144
new,MemoryChunk,0x3ab5c6a80000,262144
new,MemoryChunk,0x10feff00000,262144
new,MemoryChunk,0xf328ba00000,262144
new,MemoryChunk,0x1e73ce600000,262144
new,MemoryChunk,0x560d47b40000,262144
new,MemoryChunk,0x2e583f380000,262144
new,MemoryChunk,0x1c70db240000,262144
new,MemoryChunk,0x760e24c0000,262144
new,MemoryChunk,0x3c7de4980000,262144
new,MemoryChunk,0x268a12300000,262144
new,MemoryChunk,0x2f0bcf980000,262144
new,MemoryChunk,0x3c92636c0000,262144
new,MemoryChunk,0xe2915980000,262144
new,MemoryChunk,0x560d47b80000,262144
new,MemoryChunk,0x1f1e5b000000,262144
new,MemoryChunk,0x32746f600000,262144
new,MemoryChunk,0x132654d40000,262144
new,MemoryChunk,0x3aa5ad200000,262144
new,MemoryChunk,0x30322c180000,262144
new,MemoryChunk,0x2b51ef100000,262144
new,MemoryChunk,0x380e42d40000,262144
new,MemoryChunk,0x2ab5f1c80000,262144
new,MemoryChunk,0x14632be80000,262144
new,MemoryChunk,0x3ce464dc0000,262144
new,MemoryChunk,0x35f942c00000,270336
new,MemoryChunk,0x560d47bc0000,262144
new,MemoryChunk,0x1d51e8a40000,262144
new,MemoryChunk,0x11c544f00000,262144
new,MemoryChunk,0x38a9772c0000,262144
new,MemoryChunk,0x23ece05c0000,262144
new,MemoryChunk,0x29a805ac0000,262144
new,MemoryChunk,0x5baa8dc0000,262144
new,MemoryChunk,0x2ce7f8340000,262144
new,MemoryChunk,0x206391c80000,262144
new,MemoryChunk,0xc6956200000,262144
new,MemoryChunk,0x2fb8a2540000,262144
new,MemoryChunk,0x3b2c28600000,262144
new,MemoryChunk,0x2a5f71a40000,262144
new,MemoryChunk,0x2146e9140000,192512
new,MemoryChunk,0x1d0be500000,262144
new,MemoryChunk,0x2a3737280000,262144
new,MemoryChunk,0x22ca242c0000,262144
new,MemoryChunk,0x33919f900000,262144
delete,MemoryChunk,0x2146e9140000
new,MemoryChunk,0x355aac080000,262144
new,MemoryChunk,0x22fe80340000,262144
new,MemoryChunk,0x89142940000,262144
